Wall time,Step,Value
1599327830,354,0.032321438
1599327835,355,0.033361927
1599327841,356,0.03368507
1599327847,357,0.031613201
1599327853,358,0.033106945
1599327859,359,0.030998098
1599327864,360,0.032248639
1599327871,361,0.0319109
1599327877,362,0.031128392
1599327883,363,0.030922454
1599327889,364,0.031877123
1599327895,365,0.032027707
1599327900,366,0.031311061
1599327906,367,0.031986289
1599327912,368,0.031058803
1599327918,369,0.031797811
1599327923,370,0.032880884
1599327930,371,0.032321412
1599327936,372,0.031524729
1599327942,373,0.031975742
1599327948,374,0.03056442
1599327953,375,0.031729393
1599327959,376,0.031902768
1599327965,377,0.031156704
1599327970,378,0.03037212
1599327976,379,0.03250527
1599327982,380,0.032356236
1599327989,381,0.032086931
1599327995,382,0.030482089
1599328000,383,0.031576265
1599328006,384,0.031139202
1599328012,385,0.031748995
1599328017,386,0.03157429
1599328023,387,0.031708173
1599328029,388,0.030531544
1599328035,389,0.031576328
1599328040,390,0.031208253
1599328048,391,0.03097502
1599328053,392,0.030212354
1599328059,393,0.029905463
1599328065,394,0.031524386
1599328070,395,0.03090924
1599328076,396,0.031102672
1599328082,397,0.031641196
1599328088,398,0.030783581
1599328093,399,0.030247752
1599328099,400,0.031404939
1599328106,401,0.030804036
1599328112,402,0.029915094
1599328118,403,0.029470304
1599328123,404,0.029958094
1599328129,405,0.030581513
1599328135,406,0.030051243
1599328141,407,0.031048801
1599328146,408,0.029750008
1599328152,409,0.029918149
1599328158,410,0.030466715
1599328165,411,0.030883923
1599328171,412,0.031009601
1599328176,413,0.030040726
1599328182,414,0.031407639
1599328188,415,0.030185197
1599328193,416,0.030589169
1599328199,417,0.030997733
1599328205,418,0.030034533
1599328211,419,0.031035226
1599328216,420,0.034226622
1599328224,421,0.034671396
1599328229,422,0.031259432
1599328235,423,0.031103659
1599328241,424,0.0303136
1599328247,425,0.030786444
1599328252,426,0.03017661
1599328258,427,0.029148504
1599328264,428,0.029922379
1599328270,429,0.030379394
1599328276,430,0.030223835
1599328283,431,0.030988894
1599328288,432,0.029430982
1599328294,433,0.031167028
1599328300,434,0.030289479
1599328306,435,0.029209921
1599328312,436,0.029961249
1599328317,437,0.030166557
1599328323,438,0.029064804
1599328329,439,0.029318869
1599328335,440,0.030414123
1599328342,441,0.028856413
1599328348,442,0.030739026
1599328353,443,0.029680833
1599328359,444,0.030602617
1599328365,445,0.030563703
1599328371,446,0.030334342
1599328376,447,0.030048164
1599328382,448,0.031841282
1599328388,449,0.029089844
1599328394,450,0.028295362
1599328401,451,0.029073952
1599328407,452,0.029044546
1599328412,453,0.030074924
1599328418,454,0.029944392
1599328424,455,0.028720483
1599328430,456,0.030336179
1599328435,457,0.040706053
1599328441,458,0.030949811
1599328447,459,0.03006978
1599328453,460,0.029422626
1599328460,461,0.03036733
1599328466,462,0.029369907
1599328471,463,0.029777808
1599328477,464,0.029543312
1599328483,465,0.028253017
1599328488,466,0.030078737
1599328494,467,0.029538397
1599328500,468,0.029108552
1599328506,469,0.028292311
1599328511,470,0.029746775
1599328518,471,0.030152723
1599328524,472,0.029067747
1599328530,473,0.02934658
1599328535,474,0.028588485
1599328541,475,0.02884309
1599328547,476,0.028849043
1599328553,477,0.027969591
1599328558,478,0.029575808
1599328564,479,0.030866263
1599328570,480,0.028944267
1599328577,481,0.028011318
1599328582,482,0.02962561
1599328588,483,0.029252227
1599328594,484,0.029216668
1599328600,485,0.029347785
1599328605,486,0.028584069
1599328611,487,0.02861668
1599328617,488,0.029468264
1599328622,489,0.029203555
1599328628,490,0.028731132
1599328635,491,0.028391084
1599328641,492,0.029948592
1599328647,493,0.027917227
1599328652,494,0.029936166
1599328658,495,0.028203638
1599328664,496,0.028489696
1599328670,497,0.02833028
1599328676,498,0.028472485
1599328681,499,0.02919288
